week,Date,Sheep 117,Sheep 130,Sheep 131,Sheep 133,Sheep 134
0,11/05/2018,0.181,0.344,0.229,0.306,0.329
1,18/05/2018,0.373,0.425,0.393,0.42,0.47
2,24/05/2018,0.459,0.504,0.471,0.506,0.495
3,01/06/2018,0.392,0.398,0.493,0.398,0.497
4,08/06/2018,0.609,0.621,0.683,0.58,0.451
5,15/06/2018,0.62,0.644,0.617,0.532,0.602
8,06/07/2018,0.761,0.745,0.792,0.683,0.784
10,19/07/2018,0.793,0.759,0.693,0.796,0.696
12,03/08/2018,0.637,NA,0.615,0.657,0.579
14,17/08/2018,0.751,NA,0.777,0.748,0.788
16,31/08/2018,0.851,NA,0.919,0.908,0.84
18,14/09/2018,0.796,NA,0.874,0.981,0.796
22,19/10/2018,0.621,NA,0.731,0.835,0.713
24,02/11/2018,0.721,NA,0.892,0.877,0.894
26,16/11/2018,0.747,NA,0.657,0.64,0.626
29,05/12/2018,0.646,NA,0.591,0.505,0.521
33,03/01/2019,0.595,NA,0.606,0.478,0.509
37,31/01/2019,0.578,NA,0.5,0.475,0.497
40,21/02/2019,0.432,NA,0.47,0.457,0.529
42,07/03/2019,0.418,NA,0.43,0.397,0.458
44,18/03/2019,0.398,NA,0.39,0.412,0.357
46,01/04/2019,0.401,NA,0.36,0.376,0.328
49,22/04/2019,0.355,NA,0.32,0.298,0.301
